ME-346|N6756X|Beechcraft|BE-76 Duchess||0|4|3900|1|0|0|airplane
452|N452PC|H.C. Coulter / Aero Design|Pulsar XP Series 1||1|2|1080|0|0|0|airplane
001|N339SS|Scaled Compossites LLC|339 SpaceShipTwo|2010|1|2|27217|0|1|0|glider
0001|N950TA|Titan Aerospace Holdings Inc|Solara 50|2015|0|0|870|0|0|0|airplane
